title,requirements
title,requirements
Senior Backend Developer - Code With A Purpose - 211 35 Malmö - Indeed.com,Learning new things is your second nature. You've accomplished plenty and made enough mistakes to consider yourself experienced. You have an innate drive to ship your code and we trust you'll do it properly.
"Backend Engineer, Freemium - Stockholm - Indeed.com","Engineer, deliver and operate highly available cloud-native solutions at scale, e.g. for our commerce platform or backend services in the end-user request path. Lead and influence engineering craft initiatives across squads, product areas and teams Work as a part of an inclusive and autonomous agile development team that employs continuous delivery and quick feedback loops. Collaborate with other squads and software engineers across the company to deliver on our goals You have proven fundamentals in computer science and previous experience building backend services at scale You are proficient in backend technologies such as Java and/or Python You have an intermediate to advanced understanding of distributed and high-volume systems and architecture patterns You have experience designing, implementing and scaling cloud-native software on providers like AWS or GCP. You are comfortable working collaboratively on a cross-functional team in a remote-first environment. You have a growth mindset, are curious and not afraid to be experimental. You share your ideas and continuously improve yourself and the team around you You are passionate about engineering practices like agile, continuous delivery, test-driven development, observability and reliability We are a distributed workforce enabling our band members to find a work mode that is best for them! Where in the world? For this role, it can be within theEMEA region in which we have a work location Prefer an office to work from home instead? Not a problem! We have plenty of options for your working preferences. Find more information about our Work From Anywhere options here. Working hours? We operate within the Central European time zone for collaborationWe ask that our team members be located within Greenwich Mean time zone, Central European time zone, or Eastern European standard time zone for the purposes of our collaboration hours"
Backend utvecklare - 211 33 Malmö - Indeed.com,Node.JS Java .NET Javascript/Typescript GraphQL Unit testing Microservices Kubernetes Docker Azure/GCP/Amazon EPIServer Firebase Spännande uppdrag som vi tillsammans med dig letar fram. Tekniktunga medarbetare som brinner för sitt yrke och kompetens. Nystartat bolag där DU har möjlighet att påverka. Minst 1 företagsresa per år där vi hittar på roliga äventyr med Q-Group och Dynamic Dog. Senaste resan var en weekend i Paris. Friskvårdsbidrag Workshops & co-labs Marknadsmässiga löner och förmåner. Fullutrustad PC/Mac.
Backend Developer - 431 37 Mölndal - Indeed.com,"Senior backend developer PHP, javascript, html5, css3, SQL, jQuery, PostgreSQL, Redis Agile development methodologies Git and Linux knowledge Blockchain knowledge a bonus"
"Backend Engineer, Audiobooks & Gated Content - Stockholm - Indeed.com","Work with your engineering manager and product manager counterparts to review product specs and translate them to engineering tasks Collaborate on tech specs to design scalable, observable, and maintainable systems Write maintainable code through extensive documentation and automated tests Collaborate with your team using industry-standard project management tools and practices Coach, mentor, and support engineers in your domain and across the organization You have a sense of humor You have demonstrable experience building software at scale in a high growth consumer-facing environment You have the ability to try things and iterate quickly You are intensely curious and passionate about the prospect of diving deep in multiple technologies, platforms, and problem spaces, even if they are currently unfamiliar You have a great work ethic and a willingness to try anything and everything You can balance personal ambitions with business needs, and you’re always willing to prioritize whatever is needed to move the product forward You enjoy working autonomously, but you know when to ask for help You work well with cross-functional, agile software development teams We are proud to foster a workplace free from discrimination. We strongly believe that diversity of experience, perspectives, and background will lead to a better environment for our employees and a better product for our users and our creators. This is something we value deeply and we encourage everyone to come be a part of changing the way the world listens to music, podcasts, and audiobooks We are a distributed workforce enabling our band members to find a work mode that is best for them! Where in the world? For this role, it can be within the EMEA region in which we have a work location and is within working hours. Working hours? We operate within the Central European and GMT time zones for collaboration and ask that all be located in that time zone. Prefer an office to work from home instead? Not a problem! We have plenty of options for your working preferences. Find more information about our Work From Anywhere options here."
Backend-utvecklare - 222 22 Lund - Indeed.com,"Förmåga att arbeta i ett team Prestigelös, självgående och driven Objektorienterad PHP Grundläggande Javascript Grundläggande HTML/CSS Talar flytande svenska"
"Backend Engineer, Data Insights - Stockholm - Indeed.com","You will be part of shaping the future of dashboarding at Spotify with best practices and expertise to ensure that the tooling we have gives the best value to Spotify You will design, build, and maintain tools and infrastructure that are needed to create a great experience for our dashboarding users at scale. Some of the tools are richer applications with a full front-end experience, some are backend microservices, and others are infrastructure tools with CLI interfaces You will operate our services to ensure that they function well and scale with our usage patternsYou will bring your engineering experience to the team to help drive engineering best practices, since we are making a transition from being a more devops team to a full stack engineering team You will be a valued member of an autonomous, cross-functional agile team that works together to identify and solve challenging problems to create an awesome engineering experience within Spotify You are experienced in designing, building, maintaining and operating distributed systems, and have experience from working in a Java environment. If you have experience from gRPC, GraphQL or Elasticsearch that would be great but more important than that is the foundation and passion for learning new technologies You have a systematic problem-solving approach coupled with effective communication skills and drive and enjoy solving problems together with others You care deeply about software craftsmanship and know from experience what it means to continuously ship high quality code You love sharing your knowledge with others and helping them grow as well as continuously improving and growing yourself We are a distributed workforce enabling our band members to find a work mode that is best for them! Where in the world? For this role, it can be within the EMEA region in which we have a work location and is within working hours. Working hours? We operate within the Central European and GMT time zones for collaboration and ask that all be located that time zone. Prefer an office to work from home instead? Not a problem! We have plenty of options for your working preferences. Find more information about our Work From Anywhere options here."
Junior backend-utvecklare - 211 19 Malmö - Indeed.com,Ha relevant examen från universitet eller högskola Ha mycket goda kunskaper inom java Behärska svenska och engelska i tal och skrift
